word	phones
anywhere	ɛ n iː w ɛ ɹ
um	ʌ m
comfortable	k ʌ m f ə ɹ t ə b ə l
feel	f iː l
you'll	j uː l
that	ð æ t
do	d uː
don't	d oʊ n t
please	p l iː z
is	ɪ z
this	ð ɪ s
fine	f aɪ n
that's	ð æ t s
okay	oʊ k eɪ
fast	f æ s t
so	s oʊ
you	j uː
how	h aʊ
alex	æ l ə k s
apart	ə p ɑ ɹ t
it	ɪ t
takes	t eɪ k s
he	h iː
yeah	j æ
hi	h aɪ
say	s eɪ
did	d ɪ d
can	k æ n
bit	b ɪ t
little	l ɪ t ə l
usually	j uː ʒ ə w ə l iː
i'm	aɪ m
today	t ə d eɪ
fresh	f ɹ ɛ ʃ
but	b ʌ t
nicer	n aɪ s ə ɹ
bubbles	b ʌ b ə l z
your	j ɔ ɹ
put	p ʊ t
where'd	w ɛ ɹ d
oh	oʊ
later	l eɪ t ə ɹ
television	t ɛ l ə v ɪ ʒ ə n
watch	w ɑ tʃ
we'll	w iː l
no	n oʊ
look	l ʊ k
two	t uː
one	w ʌ n
three	θ ɹ iː
whoops	w uː p s
push	p ʊ ʃ
on	ɑ n
turned	t ɜː n d
woo	w uː
help	h ɛ l p
need	n iː d
with	w ɪ ð
play	p l eɪ
to	t uː
for	f ɔ ɹ
get	ɡ ɛ t
we	w iː
else	ɛ l s
what	w ʌ t
done	d ʌ n
y'all	j ɔ l
c'mon	k ə m ɑ n
boy	b ɔɪ
good	ɡ ʊ d
not	n ɑ t
eat	iː t
tasty	t eɪ s t iː
very	v ɛ ɹ iː
honey	h ʌ n iː
leave	l iː v
have	h æ v
who's	h uː z
ignore	ɪ ɡ n ɔ ɹ
just	dʒ ʌ s t
here	h iː ɹ
over	oʊ v ə ɹ
alphabet	æ l f ə b ɛ t
here's	h ɪ ɹ z
dip	d ɪ p
wow	w aʊ
balloon	b ə l uː n
the	ð ə
where's	w ɛ ɹ z
how's	h aʊ z
there	ð ɛ ɹ
out	aʊ t
you're	j ʊ ɹ
think	θ ɪ ŋ k
them	ð ɛ m
where	w ɛ ɹ
idea	aɪ d iː ə
cause	k ɑ z
pieces	p iː s ə z
left	l ɛ f t
any	ɛ n iː
box	b ɑ k s
in	ɪ n
what's	w ʌ t s
toy	t ɔɪ
of	ʌ v
bottom	b ɑ t ə m
they're	ð ɛ ɹ
maybe	m eɪ b iː
truck	t ɹ ʌ k
swing	s w ɪ ŋ
go	ɡ oʊ
wanna	w ɑ n ə
know	n oʊ
twisted	t w ɪ s t ɪ d
all	ɔ l
it's	ɪ t s
happened	h æ p ə n d
bus	b ʌ s
school	s k uː l
other	ʌ ð ə ɹ
rake	ɹ eɪ k
take	t eɪ k
can't	k æ n t
couple	k ʌ p ə l
bird	b ɜː d
big	b ɪ ɡ
huh	h ʌ
bout	b aʊ t
some	s ʌ m
clean	k l iː n
puzzle	p ʌ z ə l
ready	ɹ ɛ d iː
right	ɹ aɪ t
hands	h æ n d z
hold	h oʊ l d
dusty	d ʌ s t iː
em	ɛ m
rest	ɹ ɛ s t
find	f aɪ n d
if	ɪ f
see	s iː
lift	l ɪ f t
feels	f iː l z
nobody	n oʊ b ɑ d iː
crummy	k ɹ ʌ m iː
everybody	ɛ v ɹ iː b ɑ d iː
another	ə n ʌ ð ə ɹ
found	f aʊ n d
ernie	ɜː n iː
wee	w iː
small	s m ɔ l
and	ə n d
down	d aʊ n
under	ʌ n d ə ɹ
postman	p oʊ s t m ə n
up	ʌ p
sad	s æ d
happy	h æ p iː
rock	ɹ ɑ k
below	b ɪ l oʊ
above	ə b ʌ v
are	ɑ ɹ
careful	k ɛ ɹ f ə l
nap	n æ p
nice	n aɪ s
turtle	t ɜː t ə l
grover	ɡ ɹ oʊ v ə ɹ
stuck	s t ʌ k
he's	h iː z
thank	θ æ ŋ k
dawn	d ɔ n
prairie	p ɹ ɛ ɹ iː
getting	ɡ ɛ t ɪ ŋ
why's	w aɪ z
drums	d ɹ ʌ m z
played	p l eɪ d
books	b ʊ k s
tree	t ɹ iː
star	s t ɑ ɹ
dough	d oʊ
fish	f ɪ ʃ
outside	aʊ t s aɪ d
hot	h ɑ t
too	t uː
because	b ɪ k ɔ z
things	θ ɪ ŋ z
we're	w iː ɹ
