word	count
g'head	11
huah	1
mornin	1
runninouta	1
givya	2
c'mere	87
uhoh	514
adea	1
cuz	42
froggy	39
yeehah	1
bapped	1
uhhuh	527
dubbie	2
fishies	13
duckie	103
wowa	1
s'more	51
dugadugaduga	1
howbout	42
tikatikatika	1
woah	46
chuga	29
elmo's	49
untwist	4
wuffle	3
s'that	2
doin	44
ernie's	3
d'ya	35
boing	50
brusha	16
gohead	5
mbu	2
yuckier	3
skippity	2
havta	58
hippety	2
kerbunk	1
hoppity	6
shark's	2
getcha	25
padder	1
pidder	1
ridda	1
donchu	7
horsies	13
gechu	1
oo	91
luh	24
memba	1
didja	19
wouldja	169
keep'm	1
weeah	1
waimit	30
buh	62
gabbie	1
dubby	2
greena	1
comon	30
wuh	35
gahead	12
inat	1
camere	41
tooka	28
woohoo	27
cryin'	2
macaronis	1
fulla	1
tadah	122
tryin	5
howsat	1
olie	27
squish	189
whatsat	4
waw	1
playdoh	66
squishing	26
skipidy	1
kerplunk	10
teletubbies	31
putem	1
tipidy	1
lemmee	9
po's	12
piggie	48
dipsy's	9
tuby	2
destructo	3
push'em	3
cheapy	3
chreet	1
sockie	1
hray	3
whada	163
zoey's	1
wuzat	1
drooly	3
droolin'	1
sockies	1
wusat	2
chugga	161
wha	39
monster's	4
doogah	2
skwa	1
bawp	6
pikachu	6
pikapika	3
butcha	1
tigger	82
deh	17
pumpkin's	14
dreidel	10
tweetle	2
koosh	20
laa	68
floatin'	2
wouldjou	82
winkie	3
tinkie	1
dipsy	30
chrah	5
haf	2
doughs	2
dya	126
giddyup	17
nuh	25
color's	43
raay	5
those're	6
bawoo	1
winky	32
tinky	32
oranch	1
bahroom	5
bleh	38
mommy'll	70
blughk	2
bwoo	1
gettin	7
uhuh	36
gigi's	17
snippy	1
horsie	84
treeblebugs	1
wuba	3
hawuba	1
periadon	1
abuh	4
awoo	1
squoosh	5
squooshing	6
aa	1
hankie	1
go'head	2
aiyai	1
badoop	4
scooch	10
boopadoo	1
set's	2
shakin	1
whadja	13
put'em	2
dough's	2
somethin	6
missin	1
muwah	2
whadya	29
playin	8
neh	3
nih	3
teletubby	8
runninoutta	1
smily	25
bluck	1
buwee	1
'scuse	2
nuhnuh	8
puttin	2
dilee	2
uw	3
dumpin	1
whosat	3
freshola	1
freshy	1
cvs	5
